POSTAL_CODE,AGE_19_AND_UNDER,AGE_20_TO_29,AGE_30_TO_44,AGE_45_TO_59,AGE_60_AND_OVER,MALE,FEMALE,TWO_OR_MORE_RACES,LESS_THAN_10K,BETWEEN_10K_AND_14K,BETWEEN_15K_AND_24K,BETWEEN_25K_AND_34K,BETWEEN_35K_AND_49K,BETWEEN_50K_AND_74K,BETWEEN_75K_AND_99K,BETWEEN_100K_AND_149K,BETWEEN_150K_AND_199K,_200K_OR_MORE,LESS_THAN_9TH_GRADE,BETWEEN_9TH_AND_12TH_GRADE_NO_DIPLOMA,HIGH_SCHOOL_GRADUATE_INCLUDES_EQUIVALENCY,SOME_COLLEGE_NO_DEGREE,ASSOCIATES_DEGREE,BACHELORS_DEGREE,GRADUATE_OR_PROFESSIONAL_DEGREE,POPULATION,HOUSEHOLD_TYPE_MARRIED_COUPLE_HOUSEHOLD,HOUSEHOLD_TYPE_COHABITING_COUPLE_HOUSEHOLD,HOUSEHOLD_TYPE_MALE_HOUSEHOLDER_NO_SPOUSE_PARTNER_PRESENT,HOUSEHOLD_TYPE_FEMALE_HOUSEHOLDER_NO_SPOUSE_PARTNER_PRESENT,FAMILY_HOUSEHOLD,NON_FAMILY_HOUSEHOLD
54-97,0.2039939875,0.09877603607,0.1523512991,0.2297616491,0.3151170281,0.4977453296,0.5022546704,0.06205711832,0.02,0.032,0.049,0.038,0.049,0.13,0.087,0.238,0.177,0.18,0.02148272957,0.04886267902,0.2871384443,0.1748104465,0.08045492839,0.2900870542,0.09716371806,9314.0,0.6119531027,0.06634257935,0.1578495854,0.1638547326,0.678295682,0.321704318
57-61,0.1875993641,0.1184419714,0.1703762586,0.2249602544,0.2986221516,0.4925808161,0.5074191839,0.06465288818,0.028,0.015,0.047,0.054,0.074,0.137,0.119,0.24,0.129,0.157,0.02741051274,0.0741696227,0.3427926475,0.2628184457,0.1157691067,0.1251209287,0.05191873589,4529.0,0.5049157303,0.07654494382,0.1832865169,0.235252809,0.5814606742,0.4185393258
59-04,0.2764235814,0.1346434136,0.1879177765,0.2025933558,0.1984218726,0.4803739257,0.5196260743,0.1375584259,0.056,0.057,0.116,0.091,0.186,0.159,0.071,0.157,0.064,0.043,0.09142425387,0.160710238,0.393879864,0.1941065357,0.05228560635,0.07827729505,0.02931620703,19897.0,0.3208736441,0.1011433597,0.2082966872,0.369686309,0.4220170038,0.5779829962
60-73,0.2624818352,0.1335115217,0.1829717667,0.195323853,0.2257110235,0.4853124351,0.5146875649,0.1061085738,0.116,0.089,0.169,0.122,0.15,0.134,0.076,0.077,0.03,0.037,0.1218560278,0.1361665221,0.3354884491,0.1610029173,0.0532208468,0.1302925175,0.06197271939,38536.0,0.2423937008,0.06985826772,0.2844094488,0.4033385827,0.3122519685,0.6877480315
62-82,0.2504211461,0.1315201078,0.2181996386,0.193543447,0.2063156605,0.4905203835,0.5094796165,0.1215044871,0.05,0.016,0.07,0.064,0.073,0.162,0.204,0.206,0.1,0.055,0.06832159729,0.07233264997,0.3838577413,0.1841964524,0.06662804171,0.1591942241,0.06546929316,39179.0,0.4240771812,0.07516778523,0.191442953,0.3093120805,0.4992449664,0.5007550336
21-475,0.2514816234,0.1742569349,0.1768483674,0.1844423913,0.212970683,0.46925209,0.53074791,0.05282015458,0.0950950951,0.07007007007,0.08908908909,0.08108108108,0.1271271271,0.2212212212,0.1111111111,0.1211211211,0.03503503504,0.04904904905,0.04614654449,0.08349457851,0.3701215728,0.2103610675,0.08272790333,0.1256617137,0.08148661969,35502.0,0.2893531769,0.07899255867,0.2365197481,0.3951345163,0.3683457355,0.6316542645
24-678,0.2103856179,0.07257902827,0.1497025997,0.2272939918,0.3400387623,0.4805854441,0.5194145559,0.04491077992,0.008991008991,0.01898101898,0.06593406593,0.02797202797,0.0989010989,0.2047952048,0.1158841159,0.2437562438,0.08891108891,0.1258741259,0.02660175606,0.03616447883,0.2289837434,0.2357645832,0.07971833435,0.255846301,0.1369208033,11970.0,0.6215478484,0.02938342967,0.1172125883,0.2318561336,0.6509312781,0.3490687219
24-678,0.2103856179,0.07257902827,0.1497025997,0.2272939918,0.3400387623,0.4805854441,0.5194145559,0.04491077992,0.008991008991,0.01898101898,0.06593406593,0.02797202797,0.0989010989,0.2047952048,0.1158841159,0.2437562438,0.08891108891,0.1258741259,0.02660175606,0.03616447883,0.2289837434,0.2357645832,0.07971833435,0.255846301,0.1369208033,11970.0,0.6215478484,0.02938342967,0.1172125883,0.2318561336,0.6509312781,0.3490687219
24-678,0.2103856179,0.07257902827,0.1497025997,0.2272939918,0.3400387623,0.4805854441,0.5194145559,0.04491077992,0.008991008991,0.01898101898,0.06593406593,0.02797202797,0.0989010989,0.2047952048,0.1158841159,0.2437562438,0.08891108891,0.1258741259,0.02660175606,0.03616447883,0.2289837434,0.2357645832,0.07971833435,0.255846301,0.1369208033,14963.0,0.6215478484,0.02938342967,0.1172125883,0.2318561336,0.6509312781,0.3490687219
24-678,0.2103856179,0.07257902827,0.1497025997,0.2272939918,0.3400387623,0.4805854441,0.5194145559,0.04491077992,0.008991008991,0.01898101898,0.06593406593,0.02797202797,0.0989010989,0.2047952048,0.1158841159,0.2437562438,0.08891108891,0.1258741259,0.02660175606,0.03616447883,0.2289837434,0.2357645832,0.07971833435,0.255846301,0.1369208033,17956.0,0.6215478484,0.02938342967,0.1172125883,0.2318561336,0.6509312781,0.3490687219
