STORE_ID,POSTAL_CODE,STORE_CHAIN,REGION,CLASSOFTRADE,MERCHANDISED,FACINGS,POCKETS
671968,59-674,Chain 1,Lower Silesian,DRUG CHAIN,Y,0,0
690236,60-353,Chain 2,Lower Silesian,SM CHAIN,Y,0,3
669208,71-809,Chain 1,Kuyavian-Pomeranian,DRUG CHAIN,Y,5,5
656665,88-303,Chain 3,Lublin,SM CHAIN,Y,0,24
697025,30-076,Chain 4,Lubusz,DRUG CHAIN,Y,8,0
669312,75-086,Chain 5,Łódź,SM CHAIN,Y,0,16
644965,91-394,Chain 4,Lublin,DRUG CHAIN,Y,9,3
663135,85-717,Chain 6,Lesser Poland,SPECIALTY,N,0,3
692044,26-826,Chain 7,Masovian,SM CHAIN,Y,20,11
648117,26-388,Chain 8,Opole,SM CHAIN,Y,26,30
629340,35-680,Chain 9,Subcarpathian,DSCT CHAIN,Y,0,1
650256,30-612,Chain 10,Lubusz,SM CHAIN,Y,20,43
709783,70-807,Chain 9,Kuyavian-Pomeranian,DSCT CHAIN,Y,0,20
665191,72-691,Chain 11,Łódź,SM CHAIN,Y,0,62
696690,77-685,Chain 4,Podlaskie,DRUG CHAIN,Y,9,10
663160,59-287,Chain 1,Lower Silesian,DRUG CHAIN,Y,0,15
714065,36-428,Chain 6,Pomeranian,SPECIALTY,N,0,4
702039,45-263,Chain 1,Silesian,DRUG CHAIN,Y,3,27
648138,45-577,Chain 12,Silesian,SPECIALTY,Y,0,0
654241,29-938,Chain 4,Lubusz,DRUG CHAIN,Y,22,7
698131,57-686,Chain 1,Lower Silesian,DRUG CHAIN,Y,9,24
682797,73-806,Chain 6,Łódź,SPECIALTY,N,0,4
716873,57-769,Chain 6,Lower Silesian,SPECIALTY,N,0,3
637996,72-753,Chain 13,Łódź,HOME IMPR,Y,0,5
706183,72-415,Chain 9,Kuyavian-Pomeranian,DSCT CHAIN,Y,0,27
737636,77-894,Chain 14,Podlaskie,SPECIALTY,N,11,0
670661,93-048,Chain 1,Lublin,DRUG CHAIN,Y,3,9
649498,26-426,Chain 8,Opole,SM CHAIN,Y,29,30
680165,25-287,Chain 7,Opole,SM CHAIN,Y,7,9
635984,30-373,Chain 10,Lubusz,SM CHAIN,Y,29,52
675616,58-073,Chain 6,Lower Silesian,SPECIALTY,N,0,4
695072,35-415,Chain 6,Subcarpathian,SPECIALTY,N,0,3
644508,78-805,Chain 6,Podlaskie,SPECIALTY,N,0,3
676340,49-673,Chain 4,Holy Cross,DRUG CHAIN,Y,10,8
664004,35-436,Chain 15,Subcarpathian,SM CHAIN,N,0,19
794969,44-014,Chain 6,Silesian,SPECIALTY,N,0,3
637542,90-024,Chain 1,Lublin,DRUG CHAIN,Y,5,18
700268,35-610,Chain 6,Subcarpathian,SPECIALTY,N,0,7
707201,95-115,Chain 6,Warmian-Masurian,SPECIALTY,N,0,4
721451,75-663,Chain 6,Łódź,SPECIALTY,N,0,3
638317,30-712,Chain 10,Lubusz,SM CHAIN,Y,20,70
668612,75-150,Chain 9,Łódź,DSCT CHAIN,Y,0,6
706507,36-506,Chain 6,Pomeranian,SPECIALTY,N,0,3
643896,32-120,Chain 10,Lubusz,SM CHAIN,Y,15,37
718866,77-597,Chain 6,Łódź,SPECIALTY,N,0,4
655282,60-073,Chain 4,Lower Silesian,DRUG CHAIN,Y,9,9
678819,27-344,Chain 1,Masovian,DRUG CHAIN,Y,5,10
698529,29-806,Chain 6,Lubusz,SPECIALTY,N,0,3
661694,27-133,Chain 6,Masovian,SPECIALTY,N,0,3
696838,74-096,Chain 6,Łódź,SPECIALTY,N,0,4
686557,25-186,Chain 1,Opole,DRUG CHAIN,Y,4,12
631777,77-088,Chain 11,Łódź,SM CHAIN,Y,15,74
649641,89-442,Chain 9,Lublin,DSCT CHAIN,Y,12,0
702057,25-077,Chain 6,Opole,SPECIALTY,N,0,3
684732,75-143,Chain 16,Łódź,DSCT CHAIN,Y,0,55
763290,30-255,Chain 6,Lubusz,SPECIALTY,N,0,4
661951,90-008,Chain 11,Lublin,SM CHAIN,Y,17,82
715319,37-146,Chain 6,Pomeranian,SPECIALTY,N,0,3
825476,72-026,Chain 6,Kuyavian-Pomeranian,SPECIALTY,N,0,4
681899,36-227,Chain 9,Subcarpathian,DSCT CHAIN,Y,11,16
657349,49-712,Chain 17,Holy Cross,SM CHAIN,N,0,10
699990,78-176,Chain 4,Podlaskie,DRUG CHAIN,Y,7,9
721209,37-032,Chain 6,Pomeranian,SPECIALTY,N,0,3
635369,88-993,Chain 11,Lublin,SM CHAIN,Y,14,15
685567,90-018,Chain 18,Lublin,SM CHAIN,Y,0,32
670159,90-263,Chain 19,Lublin,DRUG CHAIN,N,0,0
637352,44-186,Chain 18,Silesian,SM CHAIN,Y,0,45
685837,30-219,Chain 1,Lubusz,DRUG CHAIN,Y,5,8
639802,43-991,Chain 4,Silesian,DRUG CHAIN,Y,15,9
644541,90-175,Chain 9,Lublin,DSCT CHAIN,Y,6,20
657177,44-202,Chain 20,Silesian,SM CHAIN,Y,14,1
641905,90-254,Chain 4,Lublin,DRUG CHAIN,Y,22,9
637314,75-050,Chain 5,Łódź,SM CHAIN,Y,7,30
710963,47-693,Chain 21,Holy Cross,VAR CHAIN,Y,12,10
672561,43-912,Chain 4,Silesian,DRUG CHAIN,Y,11,0
704500,75-012,Chain 6,Łódź,SPECIALTY,N,0,3
893249,25-810,Chain 6,Opole,SPECIALTY,N,0,4
648755,34-800,Chain 10,Subcarpathian,SM CHAIN,Y,23,31
643336,76-312,Chain 13,Łódź,HOME IMPR,Y,0,10
658244,25-782,Chain 7,Opole,SM CHAIN,Y,14,10
704636,74-194,Chain 6,Łódź,SPECIALTY,N,0,3
648397,30-491,Chain 10,Lubusz,SM CHAIN,Y,20,69
683414,93-032,Chain 6,Lublin,SPECIALTY,N,0,4
723356,60-667,Chain 6,Lower Silesian,SPECIALTY,N,0,4
740587,72-925,Chain 6,Łódź,SPECIALTY,N,0,3
686801,73-079,Chain 1,Łódź,DRUG CHAIN,Y,0,25
704947,26-176,Chain 6,Opole,SPECIALTY,N,0,4
698456,72-136,Chain 6,Kuyavian-Pomeranian,SPECIALTY,N,0,3
731888,71-218,Chain 6,Kuyavian-Pomeranian,SPECIALTY,N,0,3
656218,31-108,Chain 9,Lubusz,DSCT CHAIN,Y,17,20
737848,34-754,Chain 22,Subcarpathian,SM INDEP,N,0,0
659546,76-246,Chain 1,Łódź,DRUG CHAIN,N,9,6
702737,31-379,Chain 6,Lubusz,SPECIALTY,N,0,3
662402,35-592,Chain 4,Subcarpathian,DRUG CHAIN,Y,17,8
656518,31-183,Chain 9,Lubusz,DSCT CHAIN,Y,9,20
818313,30-858,Chain 10,Lubusz,SM CHAIN,Y,22,64
702609,37-235,Chain 6,Pomeranian,SPECIALTY,N,0,3
752838,35-053,Chain 6,Subcarpathian,SPECIALTY,N,0,4
662641,29-918,Chain 4,Lubusz,DRUG CHAIN,Y,12,11
702659,47-880,Chain 6,Holy Cross,SPECIALTY,N,0,3
704217,76-258,Chain 6,Łódź,SPECIALTY,N,0,4
701879,31-556,Chain 6,Lubusz,SPECIALTY,N,0,3
675491,77-275,Chain 4,Łódź,DRUG CHAIN,Y,11,11
703600,90-983,Chain 19,Lublin,DRUG CHAIN,N,0,0
669398,24-937,Chain 1,Opole,DRUG CHAIN,Y,6,14
731706,73-525,Chain 6,Łódź,SPECIALTY,N,0,3
684733,36-738,Chain 6,Pomeranian,SPECIALTY,N,0,3
686615,30-988,Chain 1,Lubusz,DRUG CHAIN,Y,0,13
679655,25-190,Chain 1,Opole,DRUG CHAIN,Y,18,14
634949,91-186,Chain 11,Lublin,SM CHAIN,Y,17,57
725704,74-575,Chain 6,Łódź,SPECIALTY,N,0,3
667364,35-087,Chain 15,Subcarpathian,SM CHAIN,N,7,16
691721,75-060,Chain 1,Łódź,DRUG CHAIN,N,0,6
796342,59-087,Chain 6,Lower Silesian,SPECIALTY,N,0,4
633153,87-692,Chain 11,Lublin,SM CHAIN,Y,20,51
657103,79-088,Chain 18,Podlaskie,SM CHAIN,Y,0,31
699754,90-476,Chain 1,Lublin,DRUG CHAIN,Y,9,7
668522,26-054,Chain 6,Opole,SPECIALTY,N,0,3
645927,92-732,Chain 11,Lublin,SM CHAIN,Y,20,20
655022,27-318,Chain 4,Masovian,DRUG CHAIN,Y,11,8
634815,32-273,Chain 13,Lubusz,HOME IMPR,Y,0,2
658798,30-687,Chain 9,Lubusz,DSCT CHAIN,Y,11,24
680554,92-223,Chain 1,Lublin,DRUG CHAIN,Y,5,7
663029,25-706,Chain 9,Opole,DSCT CHAIN,Y,0,6
646578,95-176,Chain 12,Warmian-Masurian,SPECIALTY,Y,0,1
681239,35-093,Chain 9,Subcarpathian,DSCT CHAIN,Y,12,5
681342,30-704,Chain 9,Lubusz,DSCT CHAIN,Y,0,6
684451,89-796,Chain 3,Lublin,SM CHAIN,Y,0,27
685870,74-758,Chain 9,Łódź,DSCT CHAIN,Y,12,12
732425,95-023,Chain 6,Warmian-Masurian,SPECIALTY,N,0,3
696283,77-874,Chain 1,Podlaskie,DRUG CHAIN,Y,7,18
648357,26-463,Chain 8,Opole,SM CHAIN,Y,8,33
644640,31-083,Chain 4,Lubusz,DRUG CHAIN,Y,22,4
888208,26-212,Chain 6,Opole,SPECIALTY,N,0,4
725848,26-424,Chain 6,Opole,SPECIALTY,N,0,4
667502,32-120,Chain 6,Lubusz,SPECIALTY,N,0,4
660683,43-979,Chain 4,Silesian,DRUG CHAIN,Y,8,9
683169,70-787,Chain 4,Kuyavian-Pomeranian,DRUG CHAIN,Y,11,0
791424,24-984,Chain 23,Opole,SM CHAIN,Y,22,0
687315,73-899,Chain 6,Łódź,SPECIALTY,N,0,3
699231,24-875,Chain 6,Opole,SPECIALTY,N,0,3
659701,30-861,Chain 4,Lubusz,DRUG CHAIN,Y,11,9
712341,57-273,Chain 1,Greater Poland,DRUG CHAIN,Y,12,10
687970,75-131,Chain 9,Łódź,DSCT CHAIN,Y,9,29
639482,29-975,Chain 4,Lubusz,DRUG CHAIN,Y,10,9
668370,89-617,Chain 11,Lublin,SM CHAIN,Y,7,21
669372,75-916,Chain 5,Łódź,SM CHAIN,Y,0,26
682211,77-073,Chain 4,Łódź,DRUG CHAIN,Y,22,7
665678,31-603,Chain 1,Lubusz,DRUG CHAIN,Y,11,6
702899,26-780,Chain 6,Masovian,SPECIALTY,N,0,3
676052,90-292,Chain 12,Lublin,SPECIALTY,Y,0,1
653072,76-375,Chain 11,Łódź,SM CHAIN,Y,5,11
668308,70-834,Chain 1,Kuyavian-Pomeranian,DRUG CHAIN,Y,11,10
665568,58-746,Chain 24,Lower Silesian,SM CHAIN,Y,0,12
650265,92-192,Chain 25,Lublin,SM CHAIN,Y,8,9
689164,27-379,Chain 7,Masovian,SM CHAIN,Y,17,0
692350,75-888,Chain 4,Łódź,DRUG CHAIN,Y,0,10
682052,47-994,Chain 17,Holy Cross,SM CHAIN,Y,11,27
650418,30-852,Chain 12,Lubusz,SPECIALTY,Y,0,0
694453,76-413,Chain 6,Łódź,SPECIALTY,N,0,3
692251,92-914,Chain 9,Lublin,DSCT CHAIN,Y,15,26
677649,84-786,Chain 9,Lesser Poland,DSCT CHAIN,Y,12,24
677552,88-779,Chain 1,Lublin,DRUG CHAIN,Y,5,27
693550,75-910,Chain 4,Łódź,DRUG CHAIN,Y,11,11
701996,73-324,Chain 6,Łódź,SPECIALTY,N,0,3
661238,25-782,Chain 1,Opole,DRUG CHAIN,Y,9,17
660988,75-049,Chain 18,Łódź,SM CHAIN,Y,0,8
677496,75-906,Chain 26,Łódź,MILITARY,Y,0,0
695289,77-600,Chain 9,Łódź,DSCT CHAIN,Y,17,21
648577,30-989,Chain 10,Lubusz,SM CHAIN,Y,17,52
695348,30-179,Chain 9,Lubusz,DSCT CHAIN,Y,7,14
791711,30-576,Chain 6,Lubusz,SPECIALTY,N,0,4
714430,71-686,Chain 6,Kuyavian-Pomeranian,SPECIALTY,N,0,4
708426,37-246,Chain 6,Pomeranian,SPECIALTY,N,0,4
670875,30-079,Chain 6,Lubusz,SPECIALTY,N,0,3
665066,75-160,Chain 1,Łódź,DRUG CHAIN,N,9,10
792333,49-673,Chain 27,Holy Cross,ALL OTHER,N,0,0
713632,47-897,Chain 6,Holy Cross,SPECIALTY,N,0,3
680802,92-707,Chain 12,Lublin,SPECIALTY,Y,0,5
680847,59-973,Chain 4,Lower Silesian,DRUG CHAIN,Y,22,9
662051,77-088,Chain 4,Łódź,DRUG CHAIN,Y,5,10
630440,44-055,Chain 9,Silesian,DSCT CHAIN,Y,5,39
689079,25-973,Chain 1,Opole,DRUG CHAIN,Y,15,17
664957,29-737,Chain 1,Lubusz,DRUG CHAIN,N,10,19
685060,91-377,Chain 1,Lublin,DRUG CHAIN,Y,17,8
693137,76-214,Chain 6,Łódź,SPECIALTY,N,0,3
670986,94-677,Chain 18,Warmian-Masurian,SM CHAIN,Y,51,63
646356,31-581,Chain 10,Lubusz,SM CHAIN,Y,18,71
675245,24-875,Chain 7,Opole,SM CHAIN,Y,16,10
672551,76-336,Chain 4,Łódź,DRUG CHAIN,Y,10,9
651553,25-281,Chain 4,Opole,DRUG CHAIN,Y,6,0
655285,87-705,Chain 3,Lublin,SM CHAIN,Y,0,18
724864,29-727,Chain 6,Lubusz,SPECIALTY,N,0,4
684635,30-233,Chain 1,Lubusz,DRUG CHAIN,Y,5,21
660911,76-430,Chain 4,Łódź,DRUG CHAIN,Y,17,13
701003,36-637,Chain 6,Pomeranian,SPECIALTY,N,0,4
711861,57-273,Chain 1,Greater Poland,DRUG CHAIN,Y,0,0
684091,25-604,Chain 7,Opole,SM CHAIN,Y,20,15
654862,58-125,Chain 4,Lower Silesian,DRUG CHAIN,Y,17,12
637349,90-349,Chain 11,Lublin,SM CHAIN,Y,15,24
653475,24-984,Chain 13,Opole,HOME IMPR,N,0,0
719690,24-925,Chain 6,Opole,SPECIALTY,N,0,4
714005,35-526,Chain 6,Subcarpathian,SPECIALTY,N,0,3
655321,31-473,Chain 4,Lubusz,DRUG CHAIN,Y,22,10
667665,49-175,Chain 28,Holy Cross,SM CHAIN,Y,0,0
655894,77-879,Chain 18,Podlaskie,SM CHAIN,Y,0,27
672007,24-935,Chain 4,Opole,DRUG CHAIN,Y,11,8
638100,31-276,Chain 29,Lubusz,SM CHAIN,Y,12,19
690964,27-352,Chain 7,Masovian,SM CHAIN,Y,12,18
647121,92-882,Chain 9,Lublin,DSCT CHAIN,Y,29,11
681130,73-920,Chain 9,Łódź,DSCT CHAIN,Y,10,28
644137,30-464,Chain 10,Lubusz,SM CHAIN,Y,11,85
