STORE_ID,POSTAL_CODE,STORE_CHAIN,REGION,CLASSOFTRADE,MERCHANDISED,FACINGS,POCKETS
686800,93-620,Chain 1,Lublin,DRUG CHAIN,Y,0,6
672128,30-178,Chain 16,Lubusz,DSCT CHAIN,Y,0,55
668522,26-054,Chain 6,Opole,SPECIALTY,N,0,3
635294,25-983,Chain 13,Opole,HOME IMPR,Y,0,7
634815,32-273,Chain 13,Lubusz,HOME IMPR,Y,0,2
636467,73-534,Chain 33,Łódź,SM CHAIN,Y,20,9
679335,30-177,Chain 6,Lubusz,SPECIALTY,N,0,3
650132,84-795,Chain 18,Lesser Poland,SM CHAIN,Y,11,41
681239,35-093,Chain 9,Subcarpathian,DSCT CHAIN,Y,12,5
893489,85-932,Chain 6,Lesser Poland,SPECIALTY,N,0,4
637901,27-138,Chain 34,Masovian,SM CHAIN,Y,10,49
689143,73-692,Chain 32,Łódź,SM CHAIN,Y,18,10
677789,72-920,Chain 9,Łódź,DSCT CHAIN,Y,0,8
683083,27-079,Chain 4,Masovian,DRUG CHAIN,Y,9,0
630234,26-744,Chain 6,Masovian,SPECIALTY,N,0,4
670989,36-493,Chain 4,Pomeranian,DRUG CHAIN,Y,15,22
645483,24-702,Chain 7,Opole,SM CHAIN,Y,17,11
653437,30-829,Chain 10,Lubusz,SM CHAIN,Y,18,41
888208,26-212,Chain 6,Opole,SPECIALTY,N,0,4
712341,57-273,Chain 1,Greater Poland,DRUG CHAIN,Y,12,10
678399,26-285,Chain 1,Opole,DRUG CHAIN,Y,17,10
639482,29-975,Chain 4,Lubusz,DRUG CHAIN,Y,10,9
661712,59-674,Chain 30,Lower Silesian,SM CHAIN,Y,18,3
645975,88-177,Chain 13,Lublin,HOME IMPR,Y,0,2
665678,31-603,Chain 1,Lubusz,DRUG CHAIN,Y,11,6
637500,31-113,Chain 29,Lubusz,SM CHAIN,Y,14,19
702899,26-780,Chain 6,Masovian,SPECIALTY,N,0,3
659421,44-791,Chain 4,Silesian,DRUG CHAIN,Y,8,9
701068,45-506,Chain 6,Silesian,SPECIALTY,N,0,3
881697,25-706,Chain 6,Opole,SPECIALTY,N,0,3
651098,29-931,Chain 10,Lubusz,SM CHAIN,Y,15,38
650265,92-192,Chain 25,Lublin,SM CHAIN,Y,8,9
731710,30-255,Chain 6,Lubusz,SPECIALTY,N,0,3
693990,77-687,Chain 9,Podlaskie,DSCT CHAIN,Y,17,7
689164,27-379,Chain 7,Masovian,SM CHAIN,Y,17,0
651935,30-437,Chain 10,Lubusz,SM CHAIN,Y,29,44
694453,76-413,Chain 6,Łódź,SPECIALTY,N,0,3
692251,92-914,Chain 9,Lublin,DSCT CHAIN,Y,15,26
677649,84-786,Chain 9,Lesser Poland,DSCT CHAIN,Y,12,24
701996,73-324,Chain 6,Łódź,SPECIALTY,N,0,3
696163,90-789,Chain 1,Lublin,DRUG CHAIN,Y,11,8
692890,75-890,Chain 4,Łódź,DRUG CHAIN,Y,11,9
791711,30-576,Chain 6,Lubusz,SPECIALTY,N,0,4
708426,37-246,Chain 6,Pomeranian,SPECIALTY,N,0,4
662132,59-682,Chain 30,Lower Silesian,SM CHAIN,Y,6,3
672517,30-278,Chain 1,Lubusz,DRUG CHAIN,Y,11,21
680280,24-970,Chain 6,Opole,SPECIALTY,N,0,4
662051,77-088,Chain 4,Łódź,DRUG CHAIN,Y,5,10
678485,26-044,Chain 7,Opole,SM CHAIN,Y,20,10
679242,79-177,Chain 9,Podlaskie,DSCT CHAIN,Y,4,39
635987,73-507,Chain 33,Łódź,SM CHAIN,Y,4,0
641244,90-235,Chain 4,Lublin,DRUG CHAIN,Y,11,9
666695,90-542,Chain 1,Lublin,DRUG CHAIN,Y,6,15
668307,89-980,Chain 35,Lublin,SM CHAIN,Y,6,4
644640,31-083,Chain 4,Lubusz,DRUG CHAIN,Y,22,4
725848,26-424,Chain 6,Opole,SPECIALTY,N,0,4
643402,57-811,Chain 4,Lower Silesian,DRUG CHAIN,Y,15,4
637652,43-812,Chain 18,Silesian,SM CHAIN,Y,0,35
676052,90-292,Chain 12,Lublin,SPECIALTY,Y,0,1
651825,92-227,Chain 25,Lublin,SM CHAIN,Y,19,9
665568,58-746,Chain 24,Lower Silesian,SM CHAIN,Y,0,12
672391,92-249,Chain 11,Lublin,SM CHAIN,Y,22,9
718692,35-478,Chain 6,Subcarpathian,SPECIALTY,N,0,3
692350,75-888,Chain 4,Łódź,DRUG CHAIN,Y,0,10
649562,25-822,Chain 4,Opole,DRUG CHAIN,Y,22,8
683039,35-432,Chain 9,Subcarpathian,DSCT CHAIN,Y,6,19
682052,47-994,Chain 17,Holy Cross,SM CHAIN,Y,11,27
650418,30-852,Chain 12,Lubusz,SPECIALTY,Y,0,0
747008,93-638,Chain 6,Lublin,SPECIALTY,N,0,3
649968,88-273,Chain 35,Lublin,SM CHAIN,Y,0,4
641158,90-949,Chain 36,Lublin,SM CHAIN,Y,20,21
635719,93-600,Chain 16,Lublin,DSCT CHAIN,Y,0,49
660382,57-803,Chain 4,Lower Silesian,DRUG CHAIN,Y,8,9
677552,88-779,Chain 1,Lublin,DRUG CHAIN,Y,5,27
655542,30-849,Chain 9,Lubusz,DSCT CHAIN,Y,7,17
695289,77-600,Chain 9,Łódź,DSCT CHAIN,Y,17,21
705550,36-178,Chain 6,Subcarpathian,SPECIALTY,N,0,3
633682,75-156,Chain 6,Łódź,SPECIALTY,N,0,4
675398,27-136,Chain 1,Masovian,DRUG CHAIN,Y,4,13
725002,78-489,Chain 6,Podlaskie,SPECIALTY,N,0,3
699043,26-234,Chain 4,Opole,DRUG CHAIN,Y,6,0
652719,93-073,Chain 11,Lublin,SM CHAIN,Y,22,13
699028,73-275,Chain 6,Łódź,SPECIALTY,N,0,3
887441,35-473,Chain 6,Subcarpathian,SPECIALTY,N,0,3
697292,50-309,Chain 6,Holy Cross,SPECIALTY,N,0,4
680847,59-973,Chain 4,Lower Silesian,DRUG CHAIN,Y,22,9
658304,95-095,Chain 11,Warmian-Masurian,SM CHAIN,Y,8,0
644087,27-155,Chain 7,Masovian,SM CHAIN,Y,20,0
664957,29-737,Chain 1,Lubusz,DRUG CHAIN,N,10,19
628416,30-500,Chain 10,Lubusz,SM CHAIN,Y,22,44
685864,25-777,Chain 7,Opole,SM CHAIN,Y,0,10
692996,95-486,Chain 41,Warmian-Masurian,DSCT CHAIN,N,8,14
650040,30-807,Chain 4,Lubusz,DRUG CHAIN,Y,5,3
640727,76-400,Chain 1,Łódź,DRUG CHAIN,N,5,13
684635,30-233,Chain 1,Lubusz,DRUG CHAIN,Y,5,21
683914,73-882,Chain 1,Łódź,DRUG CHAIN,Y,0,25
648039,94-895,Chain 11,Warmian-Masurian,SM CHAIN,Y,18,17
654862,58-125,Chain 4,Lower Silesian,DRUG CHAIN,Y,17,12
1007863,74-999,Chain 6,Łódź,SPECIALTY,N,0,4
672007,24-935,Chain 4,Opole,DRUG CHAIN,Y,11,8
682602,89-915,Chain 3,Lublin,SM CHAIN,Y,0,20
690964,27-352,Chain 7,Masovian,SM CHAIN,Y,12,18
644137,30-464,Chain 10,Lubusz,SM CHAIN,Y,11,85
696634,31-882,Chain 1,Lubusz,DRUG CHAIN,Y,22,22
668897,47-693,Chain 12,Holy Cross,SPECIALTY,Y,0,0
661238,25-782,Chain 1,Opole,DRUG CHAIN,Y,9,17
727930,26-062,Chain 6,Opole,SPECIALTY,N,0,3
836474,44-186,Chain 6,Silesian,SPECIALTY,N,0,4
649894,88-779,Chain 11,Lublin,SM CHAIN,Y,11,0
677854,73-805,Chain 1,Łódź,DRUG CHAIN,Y,5,8
702279,44-252,Chain 1,Silesian,DRUG CHAIN,Y,4,26
646356,31-581,Chain 10,Lubusz,SM CHAIN,Y,18,71
691401,58-704,Chain 1,Lower Silesian,DRUG CHAIN,Y,4,13
674556,74-216,Chain 26,Łódź,MILITARY,Y,14,0
630033,89-737,Chain 11,Lublin,SM CHAIN,Y,18,13
701003,36-637,Chain 6,Pomeranian,SPECIALTY,N,0,4
667665,49-175,Chain 28,Holy Cross,SM CHAIN,Y,0,0
726309,72-712,Chain 6,Łódź,SPECIALTY,N,0,3
689291,76-418,Chain 5,Łódź,SM CHAIN,Y,0,11
753010,47-833,Chain 6,Holy Cross,SPECIALTY,N,0,3
672254,75-923,Chain 6,Łódź,SPECIALTY,N,0,4
683495,26-117,Chain 1,Opole,DRUG CHAIN,Y,22,15
761970,76-779,Chain 6,Łódź,SPECIALTY,N,0,3
679874,35-314,Chain 6,Subcarpathian,SPECIALTY,N,0,3
666372,76-085,Chain 5,Łódź,SM CHAIN,Y,0,18
667386,31-073,Chain 16,Lubusz,DSCT CHAIN,Y,0,41
673327,31-183,Chain 9,Lubusz,DSCT CHAIN,Y,9,13
631906,35-805,Chain 9,Subcarpathian,DSCT CHAIN,Y,5,33
724721,59-277,Chain 6,Lower Silesian,SPECIALTY,N,0,4
686678,30-375,Chain 1,Lubusz,DRUG CHAIN,N,4,6
664476,30-682,Chain 1,Lubusz,DRUG CHAIN,Y,12,11
643487,88-075,Chain 16,Lublin,DSCT CHAIN,Y,0,0
696246,29-736,Chain 29,Lubusz,SM CHAIN,Y,0,19
673880,47-682,Chain 4,Holy Cross,DRUG CHAIN,Y,6,9
695657,45-650,Chain 6,Silesian,SPECIALTY,N,0,4
678305,25-218,Chain 7,Opole,SM CHAIN,Y,14,16
657879,24-776,Chain 34,Opole,SM CHAIN,Y,22,44
672397,29-976,Chain 1,Lubusz,DRUG CHAIN,Y,5,19
644077,31-905,Chain 10,Lubusz,SM CHAIN,Y,29,40
637339,93-039,Chain 16,Lublin,DSCT CHAIN,Y,0,30
691077,75-161,Chain 6,Łódź,SPECIALTY,N,0,3
653387,72-924,Chain 1,Łódź,DRUG CHAIN,N,5,10
722164,73-781,Chain 6,Łódź,SPECIALTY,N,0,4
679441,29-789,Chain 4,Lubusz,DRUG CHAIN,Y,9,4
679261,35-486,Chain 4,Subcarpathian,DRUG CHAIN,Y,11,13
671474,79-324,Chain 6,Podlaskie,SPECIALTY,N,0,3
645805,91-334,Chain 4,Lublin,DRUG CHAIN,Y,11,3
657018,35-476,Chain 4,Subcarpathian,DRUG CHAIN,Y,11,8
675867,91-208,Chain 35,Lublin,SM CHAIN,Y,6,5
706854,74-711,Chain 6,Łódź,SPECIALTY,N,0,3
658321,30-745,Chain 4,Lubusz,DRUG CHAIN,Y,11,2
686742,90-978,Chain 1,Lublin,DRUG CHAIN,Y,2,11
642382,57-725,Chain 4,Lower Silesian,DRUG CHAIN,Y,9,12
723310,32-147,Chain 6,Lubusz,SPECIALTY,N,0,3
688562,45-073,Chain 6,Silesian,SPECIALTY,N,0,3
692623,72-832,Chain 32,Łódź,SM CHAIN,Y,12,19
731171,31-483,Chain 6,Lubusz,SPECIALTY,N,0,3
656662,57-809,Chain 4,Lower Silesian,DRUG CHAIN,Y,11,4
678062,30-603,Chain 6,Lubusz,SPECIALTY,N,0,4
656098,31-497,Chain 9,Lubusz,DSCT CHAIN,Y,12,30
699565,26-901,Chain 6,Masovian,SPECIALTY,N,0,3
683556,60-376,Chain 1,Lower Silesian,DRUG CHAIN,Y,9,10
725709,29-697,Chain 6,Lubusz,SPECIALTY,N,0,4
657949,75-626,Chain 33,Łódź,SM CHAIN,Y,0,9
673053,43-996,Chain 1,Silesian,DRUG CHAIN,Y,9,18
638848,91-783,Chain 11,Lublin,SM CHAIN,Y,6,12
631680,29-846,Chain 29,Lubusz,SM CHAIN,Y,11,19
658576,90-559,Chain 12,Lublin,SPECIALTY,Y,0,5
636809,89-698,Chain 11,Lublin,SM CHAIN,Y,15,6
703228,24-689,Chain 6,Opole,SPECIALTY,N,0,3
666552,75-904,Chain 5,Łódź,SM CHAIN,Y,15,0
679780,58-499,Chain 1,Lower Silesian,DRUG CHAIN,Y,8,6
668981,89-692,Chain 1,Lublin,DRUG CHAIN,Y,6,9
682215,75-634,Chain 6,Łódź,SPECIALTY,N,0,3
650257,31-006,Chain 10,Lubusz,SM CHAIN,Y,15,54
643247,87-946,Chain 16,Lublin,DSCT CHAIN,Y,0,14
674796,30-410,Chain 1,Lubusz,DRUG CHAIN,N,5,17
637462,57-765,Chain 4,Lower Silesian,DRUG CHAIN,Y,15,3
700602,25-673,Chain 6,Opole,SPECIALTY,N,0,4
689323,74-098,Chain 32,Łódź,SM CHAIN,Y,0,17
695231,71-605,Chain 6,Kuyavian-Pomeranian,SPECIALTY,N,0,3
628949,57-773,Chain 11,Lower Silesian,SM CHAIN,Y,6,13
713407,26-011,Chain 6,Opole,SPECIALTY,N,0,3
651716,27-012,Chain 8,Masovian,SM CHAIN,Y,10,31
683131,27-387,Chain 9,Masovian,DSCT CHAIN,Y,0,15
646296,31-791,Chain 10,Lubusz,SM CHAIN,Y,22,51
677465,25-983,Chain 7,Opole,SM CHAIN,Y,7,2
734465,36-044,Chain 6,Subcarpathian,SPECIALTY,N,0,4
682267,89-983,Chain 18,Lublin,SM CHAIN,Y,0,32
648571,72-733,Chain 18,Łódź,SM CHAIN,Y,14,8
680796,89-773,Chain 1,Lublin,DRUG CHAIN,Y,5,9
669067,31-385,Chain 9,Lubusz,DSCT CHAIN,Y,6,20
661438,31-575,Chain 9,Lubusz,DSCT CHAIN,Y,11,11
690574,25-620,Chain 1,Opole,DRUG CHAIN,Y,9,18
669693,89-381,Chain 1,Lublin,DRUG CHAIN,Y,5,9
670768,90-263,Chain 36,Lublin,SM CHAIN,Y,20,23
660520,44-574,Chain 1,Silesian,DRUG CHAIN,Y,5,17
676220,47-992,Chain 4,Holy Cross,DRUG CHAIN,Y,9,3
640159,90-363,Chain 16,Lublin,DSCT CHAIN,Y,0,28
660059,31-286,Chain 9,Lubusz,DSCT CHAIN,Y,4,16
696250,72-913,Chain 4,Łódź,DRUG CHAIN,Y,11,8
871685,45-397,Chain 6,Silesian,SPECIALTY,N,0,4
647905,90-177,Chain 4,Lublin,DRUG CHAIN,Y,13,10
637293,72-742,Chain 11,Łódź,SM CHAIN,Y,14,51
710023,70-842,Chain 9,Kuyavian-Pomeranian,DSCT CHAIN,Y,0,6
670227,90-046,Chain 35,Lublin,SM CHAIN,Y,6,4
695884,27-251,Chain 7,Masovian,SM CHAIN,Y,17,10
702296,72-415,Chain 6,Kuyavian-Pomeranian,SPECIALTY,N,0,3
717862,26-459,Chain 6,Opole,SPECIALTY,N,0,3
673351,93-292,Chain 11,Lublin,SM CHAIN,Y,11,11
658603,31-893,Chain 10,Lubusz,SM CHAIN,Y,29,43
713560,90-914,Chain 6,Lublin,SPECIALTY,N,0,3
697985,25-789,Chain 4,Opole,DRUG CHAIN,Y,11,7
674912,58-781,Chain 30,Lower Silesian,SM CHAIN,Y,14,0
677553,88-385,Chain 1,Lublin,DRUG CHAIN,Y,4,6
669678,58-280,Chain 16,Lower Silesian,DSCT CHAIN,Y,0,25
650713,26-242,Chain 9,Opole,DSCT CHAIN,Y,0,7
714916,79-304,Chain 22,Podlaskie,SM INDEP,N,0,0
690610,75-573,Chain 4,Łódź,DRUG CHAIN,Y,10,10
